Material,No. Rolling,LWD,Ev1,Ev2
1,2,32.95101866,6.92055,77.26212
1,2,34.16189329,9.0324,107.08191
1,4,33.09958481,16.44786,129.00771
1,4,39.63846102,13.09464,125.97624
1,8,43.27408954,22.17852,114.54885
1,8,38.08738074,19.64664,120.48075
1,12,44.51803833,18.06714,115.87212
1,12,39.72585513,19.31553,119.19375
1,2,30.06920314,10.62477,107.80848
1,2,30.91243984,11.67777,110.32047
1,4,32.93756679,17.65764,129.36807
1,4,31.66944026,15.19479,102.46977
1,8,41.38947044,17.76645,125.54451
1,8,38.46883476,20.52765,124.90101
1,12,40.46938004,21.39579,147.14973
1,12,39.87723214,22.35402,136.34127
2,2,39.47520218,11.73042,111.31497
2,2,34.11094925,8.96103,99.80685
2,4,35.46063974,17.0118,127.1205
2,4,34.31466021,13.49244,115.37955
2,8,41.82257536,19.38105,128.93517
2,8,37.75164479,19.06983,106.75197
2,12,41.3335446,20.42001,129.75417
2,12,39.09833518,19.45008,111.27753
2,2,33.21406439,10.81899,101.90232
2,2,33.15528301,7.81677,94.11597
2,4,32.86842468,16.97436,122.44401
2,4,31.1955914,12.90744,103.38939
2,8,37.96356525,18.86391,83.60118
2,8,32.5888842,19.72854,131.74668
2,12,38.50139997,22.63248,125.74107
2,12,32.9358923,18.13383,115.3152
3,2,23.80933433,9.87831,142.26498
3,2,28.52405776,10.76283,118.15011
3,4,32.72751471,15.37848,154.96299
3,4,29.93405575,16.68888,130.55328
3,8,36.8697479,18.59364,155.85804
3,8,34.83964928,17.84718,146.05461
3,12,36.97331461,22.57164,149.79393
3,12,33.49236641,20.63646,143.27703
3,2,29.04516138,9.69696,120.44214
3,2,28.80015831,9.52614,122.31648
3,4,27.25901284,13.0455,137.15793
3,4,26.24088967,12.39264,137.85408
3,8,34.9205076,17.67519,149.91678
3,8,28.69411791,15.42996,141.11487
3,12,33.98283599,20.10645,146.78001
3,12,32.18047391,18.2403,153.80586
4,2,22.59247233,10.17198,112.55283
4,2,21.432717,10.86813,103.98375
4,4,23.88639337,13.01508,114.34176
4,4,29.07426791,14.5782,105.11514
4,8,30.21023465,17.16975,124.13466
4,8,31.25687653,17.05509,121.02831
4,12,33.66330796,16.94277,117.71253
4,12,30.71992418,19.30149,123.28524
4,2,20.57176488,10.39311,115.08471
4,2,22.02331196,10.37907,111.43314
4,4,25.11974107,13.03497,133.65963
4,4,26.91116716,11.91177,127.43991
4,8,28.17995275,16.04538,154.0422
4,8,29.94788557,15.24393,137.40831
4,12,32.5601727,17.82027,138.73626
4,12,27.2422335,16.34724,138.89655
5,2,20.18863087,7.77348,77.06907
5,2,22.51323804,8.71533,68.0823
5,4,23.35553956,11.47302,103.4748
5,4,21.74385623,11.02959,83.25135
5,8,25.11478969,14.92335,96.55425
5,8,28.98050248,12.8115,77.88456
5,12,27.8993856,15.70491,90.8271
5,12,23.22788633,18.10341,90.66447
5,2,18.03596376,7.1253,94.37571
5,2,20.890604,7.87293,92.1492
5,4,20.28323951,11.91528,115.13151
5,4,20.92253975,11.99601,109.36458
5,8,22.71276496,12.20193,123.12846
5,8,23.40467157,12.14811,118.2285
5,12,30.1392449,17.59212,111.85785
5,12,25.37105486,14.22135,110.24676
